Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
14281.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,1
13145.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,0,1,1
38866.0,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
18766.0,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,1,1,1
21266.0,SAAB,9_3,Linear Sedan 4D,Sedan,4,2.0,4,1,1,0
14824.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,1,1,1
22964.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,1,1
32535.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,0,1,1
21128.0,Chevrolet,Cobalt,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
32844.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
22152.0,Chevrolet,Monte Carlo,LT Coupe 2D,Coupe,6,3.8,2,1,1,1
18315.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,0,1,1
27940.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,0,0
1480.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,1,1,1
15600.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
22380.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,1,0
27674.0,SAAB,9_3,Linear Sedan 4D,Sedan,4,2.0,4,1,1,1
20000.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,0,1
21013.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,1,1,1
27484.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
25420.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,0,0
11204.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,1,0
23335.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,0,1,1
41566.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,1,1
21056.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
8732.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,0,1,1
21391.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,1,1
21796.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,1,1,1
10625.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
17594.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,0,1,1
