Temperature of gurgaon,Wind in gurgaon,Humidty in gurgaon,Temperature of ghaziabad,Wind in ghaziabad,Humidty in ghaziabad,Temperature of noida,Wind in noida,Humidty in noida,Temperature of faridabad,Wind in faridabad,Humidty in faridabad,Temperature of meerut,Wind in meerut,Humidty in meerut,Temperature of chandigarh,Wind in chandigarh,Humidty in chandigarh,Temperature of delhi,Wind in delhi,Humidty in delhi
40,17,32,40,16,27,40,16,28,40,16,28,41,14,23,40,15,23,40,16,31
40,17,32,40,17,27,40,17,28,40,17,28,42,15,22,41,16,20,40,17,31
39,17,33,40,17,27,40,17,28,40,17,28,42,16,21,42,17,18,39,17,32
40,17,32,41,17,26,41,17,27,41,17,27,42,17,21,42,18,17,40,17,31
40,16,32,41,17,26,41,16,27,41,16,27,42,18,22,42,18,17,40,17,30
40,15,32,41,16,27,40,15,28,40,15,28,41,18,23,41,18,18,40,16,31
40,15,32,41,15,28,41,14,28,41,14,28,41,16,24,40,16,18,40,15,31
39,14,34,39,13,30,40,13,30,40,13,30,39,13,26,38,14,21,39,14,33
38,13,36,39,12,31,39,11,32,39,11,32,38,10,28,37,12,23,39,14,34
38,13,38,38,12,33,38,11,33,38,11,33,37,10,30,35,10,25,38,14,35
36,13,41,37,12,35,37,11,35,37,11,35,36,12,32,34,10,27,37,14,37
36,13,44,36,12,36,36,11,38,36,11,38,35,12,34,33,9,30,36,13,38
35,12,46,36,11,38,36,11,39,36,11,39,34,11,36,32,10,32,36,13,40
34,12,47,35,10,39,35,10,40,35,10,40,34,11,37,31,10,33,35,11,42
34,12,49,35,10,39,34,10,41,34,10,41,34,10,38,31,10,34,35,12,43
33,11,50,34,10,41,34,9,43,34,9,43,33,9,39,30,11,35,34,11,45
33,11,51,33,9,43,34,9,44,34,9,44,32,9,41,30,12,35,34,11,46
32,12,51,33,9,44,33,9,44,33,9,44,31,9,43,30,12,35,34,10,47
33,12,48,33,10,43,34,9,42,34,9,42,31,9,43,31,10,33,34,10,46
35,14,43,35,11,39,35,10,38,35,10,38,34,8,38,32,8,30,35,10,42
37,15,36,37,11,34,38,12,34,38,12,34,36,8,33,35,8,26,37,12,38
39,15,32,39,13,31,40,13,30,40,13,30,38,10,29,38,11,23,38,13,35
40,17,30,40,15,29,41,16,27,41,16,27,40,15,27,40,13,21,39,15,32
41,17,28,40,17,27,42,17,25,42,17,25,41,16,24,41,15,19,40,16,30
42,18,26,42,17,25,43,17,23,43,17,23,42,15,23,42,17,18,41,16,27
43,18,24,43,16,22,44,16,22,44,16,22,42,14,22,43,19,17,42,17,25
43,18,24,44,16,21,44,16,21,44,16,21,42,14,21,44,21,16,43,17,23
43,19,24,44,15,21,44,16,21,44,16,21,43,14,20,44,22,16,43,17,23
42,19,25,43,15,21,43,16,21,43,16,21,43,14,19,43,23,17,43,17,23
41,19,27,42,15,21,42,15,23,42,15,23,43,14,18,42,23,17,42,16,24
41,18,28,42,15,22,42,15,23,42,15,23,42,12,19,42,21,18,42,16,24
40,16,29,41,15,23,41,16,24,41,16,24,40,8,21,40,19,20,41,17,26
39,15,31,41,14,24,41,16,25,41,16,25,39,7,23,38,16,22,40,16,27
38,15,34,40,14,26,40,15,28,40,15,28,38,9,25,36,14,24,39,15,29
37,14,36,38,13,30,38,15,30,38,15,30,37,10,26,35,13,25,38,14,32
36,14,39,37,13,32,38,14,33,38,14,33,36,10,28,34,12,27,37,14,35
36,14,41,36,13,34,37,14,35,37,14,35,35,11,29,33,10,27,36,14,38
35,14,43,36,14,35,36,14,36,36,14,36,34,13,30,32,10,27,36,14,39
34,13,45,35,14,37,36,14,37,36,14,37,34,13,30,31,9,28,35,14,41
34,13,46,35,13,39,35,13,39,35,13,39,33,13,33,31,9,29,35,13,43
33,13,47,34,12,41,34,13,41,34,13,41,33,13,36,30,10,31,34,12,45
33,13,47,34,12,43,34,13,42,34,13,42,32,12,39,30,10,32,34,12,46
33,13,49,34,13,42,34,13,42,34,13,42,33,12,38,31,9,31,34,13,45
34,15,48,36,15,37,36,15,39,36,15,39,35,12,34,34,9,27,35,15,42
36,17,45,38,17,32,38,17,35,38,17,35,38,13,29,37,10,22,37,17,38
38,18,41,40,18,29,40,18,32,40,18,32,40,15,26,39,12,21,39,18,35
39,20,37,41,20,27,41,20,29,41,20,29,42,20,24,41,16,20,40,19,32
40,21,33,42,21,26,42,21,27,42,21,27,43,23,22,42,18,20,41,20,30
41,21,31,43,21,24,43,20,25,43,20,25,44,23,20,43,19,19,42,20,28
42,21,30,44,21,23,43,20,24,43,20,24,45,23,19,44,19,17,43,20,27
42,20,29,44,20,22,44,19,23,44,19,23,45,23,18,44,21,16,43,20,26
42,21,28,44,21,22,44,20,24,44,20,24,45,24,18,44,22,16,43,20,26
42,21,29,44,22,23,43,21,25,43,21,25,44,25,18,44,23,16,43,21,27
41,21,30,43,23,25,42,22,26,42,22,26,44,26,19,43,23,17,42,21,28
41,19,31,43,21,25,42,20,26,42,20,26,43,24,20,42,22,17,42,20,28
40,17,34,41,18,28,41,18,29,41,18,29,41,21,22,40,19,19,41,18,31
39,16,35,41,16,28,40,16,30,40,16,30,40,18,24,39,15,20,40,17,32
38,15,37,39,16,31,39,15,32,39,15,32,39,17,27,37,13,24,39,16,33
37,15,38,38,15,32,38,15,33,38,15,33,38,18,29,36,12,28,38,15,34
36,14,38,38,15,33,38,15,34,38,15,34,37,18,32,34,11,31,37,15,35
36,14,41,37,15,35,37,14,36,37,14,36,36,17,35,33,11,32,36,14,38
35,13,43,36,14,37,36,13,37,36,13,37,35,16,36,32,11,32,36,14,40
34,13,46,36,14,38,36,13,38,36,13,38,35,15,37,31,11,32,35,13,42
