Temperature of gurgaon,Wind in gurgaon,Humidty in gurgaon,Temperature of ghaziabad,Wind in ghaziabad,Humidty in ghaziabad,Temperature of noida,Wind in noida,Humidty in noida,Temperature of faridabad,Wind in faridabad,Humidty in faridabad,Temperature of meerut,Wind in meerut,Humidty in meerut,Temperature of chandigarh,Wind in chandigarh,Humidty in chandigarh,Temperature of delhi,Wind in delhi,Humidty in delhi
35.0,7.0,41.0,33.0,,59.0,35.0,7.0,41.0,35.0,7.0,41.0,33.0,,59.0,28.0,,62.0,33.0,,59.0
34.0,4.0,44.0,32.0,,70.0,34.0,4.0,44.0,34.0,4.0,44.0,32.0,,70.0,28.0,,62.0,32.0,,70.0
34.0,19.0,44.0,34.0,6.0,58.0,34.0,19.0,44.0,34.0,19.0,44.0,34.0,6.0,58.0,27.0,,70.0,34.0,6.0,58.0
34.0,13.0,44.0,39.0,7.0,41.0,34.0,13.0,44.0,34.0,13.0,44.0,39.0,7.0,41.0,27.0,,70.0,39.0,7.0,41.0
34.0,11.0,44.0,33.0,,55.0,34.0,11.0,44.0,34.0,11.0,44.0,33.0,,55.0,27.0,,70.0,33.0,,55.0
33.0,6.0,44.0,30.0,,72.0,33.0,6.0,44.0,33.0,6.0,44.0,30.0,,72.0,27.0,,74.0,30.0,,72.0
33.0,,44.0,34.0,,58.0,33.0,,44.0,33.0,,44.0,34.0,,58.0,27.0,4.0,74.0,34.0,,58.0
33.0,,46.0,40.0,4.0,43.0,33.0,,46.0,33.0,,46.0,40.0,4.0,43.0,27.0,,70.0,40.0,4.0,43.0
33.0,,46.0,36.0,6.0,50.0,33.0,,46.0,33.0,,46.0,36.0,6.0,50.0,28.0,,66.0,36.0,6.0,50.0
33.0,9.0,49.0,34.0,,56.0,33.0,9.0,49.0,33.0,9.0,49.0,34.0,,56.0,27.0,4.0,70.0,34.0,,56.0
33.0,9.0,49.0,27.0,,80.0,33.0,9.0,49.0,33.0,9.0,49.0,27.0,,80.0,26.0,4.0,79.0,27.0,,80.0
33.0,9.0,49.0,31.0,11.0,67.0,33.0,9.0,49.0,33.0,9.0,49.0,31.0,11.0,67.0,27.0,4.0,70.0,31.0,11.0,67.0
33.0,13.0,49.0,36.0,11.0,41.0,33.0,13.0,49.0,33.0,13.0,49.0,36.0,11.0,41.0,29.0,4.0,58.0,36.0,11.0,41.0
33.0,9.0,49.0,39.0,17.0,31.0,33.0,9.0,49.0,33.0,9.0,49.0,39.0,17.0,31.0,31.0,,49.0,39.0,17.0,31.0
34.0,11.0,47.0,35.0,4.0,45.0,34.0,11.0,47.0,34.0,11.0,47.0,35.0,4.0,45.0,32.0,4.0,43.0,35.0,4.0,45.0
35.0,11.0,44.0,34.0,,49.0,35.0,11.0,44.0,35.0,11.0,44.0,34.0,,49.0,33.0,7.0,41.0,34.0,,49.0
36.0,11.0,42.0,28.0,,70.0,36.0,11.0,42.0,36.0,11.0,42.0,28.0,,70.0,34.0,4.0,34.0,28.0,,70.0
37.0,9.0,39.0,34.0,20.0,49.0,37.0,9.0,39.0,37.0,9.0,39.0,34.0,20.0,49.0,35.0,6.0,36.0,34.0,20.0,49.0
38.0,9.0,37.0,37.0,13.0,41.0,38.0,9.0,37.0,38.0,9.0,37.0,37.0,13.0,41.0,36.0,6.0,32.0,37.0,13.0,41.0
39.0,11.0,35.0,37.0,19.0,41.0,39.0,11.0,35.0,39.0,11.0,35.0,37.0,19.0,41.0,37.0,7.0,31.0,37.0,19.0,41.0
39.0,9.0,33.0,32.0,,55.0,39.0,9.0,33.0,39.0,9.0,33.0,32.0,,55.0,37.0,6.0,29.0,32.0,,55.0
40.0,9.0,29.0,30.0,,60.0,40.0,9.0,29.0,40.0,9.0,29.0,30.0,,60.0,29.0,,58.0,30.0,,60.0
34.0,7.0,44.0,29.0,19.0,71.0,34.0,7.0,44.0,34.0,7.0,44.0,29.0,19.0,71.0,29.0,,58.0,29.0,19.0,71.0
34.0,6.0,44.0,31.0,11.0,65.0,34.0,6.0,44.0,34.0,6.0,44.0,31.0,11.0,65.0,29.0,,58.0,31.0,11.0,65.0
33.0,6.0,46.0,34.0,17.0,52.0,33.0,6.0,46.0,33.0,6.0,46.0,34.0,17.0,52.0,27.0,,74.0,34.0,17.0,52.0
33.0,,49.0,35.0,9.0,47.0,33.0,,49.0,33.0,,49.0,35.0,9.0,47.0,27.0,,74.0,35.0,9.0,47.0
33.0,,49.0,31.0,11.0,65.0,33.0,,49.0,33.0,,49.0,31.0,11.0,65.0,27.0,,74.0,31.0,11.0,65.0
32.0,9.0,52.0,31.0,6.0,67.0,32.0,9.0,52.0,32.0,9.0,52.0,31.0,6.0,67.0,26.0,,79.0,31.0,6.0,67.0
32.0,,49.0,33.0,6.0,62.0,32.0,,49.0,32.0,,49.0,33.0,6.0,62.0,26.0,,84.0,33.0,6.0,62.0
32.0,,49.0,34.0,22.0,53.0,32.0,,49.0,32.0,,49.0,34.0,22.0,53.0,27.0,,79.0,34.0,22.0,53.0
32.0,,49.0,36.0,33.0,49.0,32.0,,49.0,32.0,,49.0,36.0,33.0,49.0,28.0,,74.0,36.0,33.0,49.0
30.0,,55.0,39.0,15.0,38.0,30.0,,55.0,30.0,,55.0,39.0,15.0,38.0,38.0,6.0,33.0,39.0,15.0,38.0
31.0,11.0,49.0,38.0,,42.0,31.0,11.0,49.0,31.0,11.0,49.0,38.0,,42.0,39.0,9.0,27.0,38.0,,42.0
31.0,7.0,52.0,34.0,9.0,55.0,31.0,7.0,52.0,31.0,7.0,52.0,34.0,9.0,55.0,39.0,11.0,26.0,34.0,9.0,55.0
31.0,,52.0,34.0,7.0,56.0,31.0,,52.0,31.0,,52.0,34.0,7.0,56.0,39.0,4.0,27.0,34.0,7.0,56.0
32.0,7.0,49.0,,,,32.0,7.0,49.0,32.0,7.0,49.0,,,,36.0,28.0,25.0,,,
35.0,11.0,41.0,,,,35.0,11.0,41.0,35.0,11.0,41.0,,,,30.0,26.0,46.0,,,
35.0,15.0,39.0,,,,35.0,15.0,39.0,35.0,15.0,39.0,,,,33.0,19.0,38.0,,,
36.0,13.0,39.0,,,,36.0,13.0,39.0,36.0,13.0,39.0,,,,35.0,11.0,32.0,,,
36.0,11.0,39.0,,,,36.0,11.0,39.0,36.0,11.0,39.0,,,,35.0,6.0,34.0,,,
37.0,11.0,37.0,,,,37.0,11.0,37.0,37.0,11.0,37.0,,,,34.0,4.0,39.0,,,
38.0,11.0,31.0,,,,38.0,11.0,31.0,38.0,11.0,31.0,,,,33.0,9.0,44.0,,,
39.0,11.0,29.0,,,,39.0,11.0,29.0,39.0,11.0,29.0,,,,31.0,20.0,52.0,,,
39.0,11.0,29.0,,,,39.0,11.0,29.0,39.0,11.0,29.0,,,,29.0,17.0,58.0,,,
39.0,11.0,29.0,,,,39.0,11.0,29.0,39.0,11.0,29.0,,,,29.0,4.0,58.0,,,
40.0,11.0,28.0,,,,40.0,11.0,28.0,40.0,11.0,28.0,,,,28.0,,62.0,,,
41.0,13.0,38.0,,,,41.0,13.0,38.0,41.0,13.0,38.0,,,,28.0,4.0,62.0,,,
42.0,15.0,30.0,,,,42.0,15.0,30.0,42.0,15.0,30.0,,,,28.0,4.0,62.0,,,
42.0,15.0,30.0,,,,42.0,15.0,30.0,42.0,15.0,30.0,,,,28.0,,62.0,,,
42.0,19.0,30.0,,,,42.0,19.0,30.0,42.0,19.0,30.0,,,,27.0,,79.0,,,
42.0,13.0,26.0,,,,42.0,13.0,26.0,42.0,13.0,26.0,,,,27.0,,79.0,,,
42.0,15.0,26.0,,,,42.0,15.0,26.0,42.0,15.0,26.0,,,,26.0,,94.0,,,
41.0,13.0,28.0,,,,41.0,13.0,28.0,41.0,13.0,28.0,,,,26.0,7.0,94.0,,,
40.0,13.0,28.0,,,,40.0,13.0,28.0,40.0,13.0,28.0,,,,26.0,4.0,94.0,,,
39.0,19.0,27.0,,,,39.0,19.0,27.0,39.0,19.0,27.0,,,,25.0,4.0,100.0,,,
38.0,17.0,29.0,,,,38.0,17.0,29.0,38.0,17.0,29.0,,,,25.0,2.0,100.0,,,
38.0,15.0,29.0,,,,38.0,15.0,29.0,38.0,15.0,29.0,,,,25.0,,100.0,,,
37.0,13.0,33.0,,,,37.0,13.0,33.0,37.0,13.0,33.0,,,,25.0,,100.0,,,
37.0,13.0,35.0,,,,37.0,13.0,35.0,37.0,13.0,35.0,,,,25.0,,100.0,,,
36.0,13.0,39.0,,,,36.0,13.0,39.0,36.0,13.0,39.0,,,,25.0,,100.0,,,
36.0,9.0,39.0,,,,36.0,9.0,39.0,36.0,9.0,39.0,,,,26.0,,100.0,,,
35.0,9.0,41.0,,,,35.0,9.0,41.0,35.0,9.0,41.0,,,,27.0,,89.0,,,
35.0,9.0,41.0,,,,35.0,9.0,41.0,35.0,9.0,41.0,,,,28.0,2.0,74.0,,,
31.0,11.0,52.0,,,,31.0,11.0,52.0,31.0,11.0,52.0,,,,29.0,6.0,62.0,,,
30.0,9.0,55.0,,,,30.0,9.0,55.0,30.0,9.0,55.0,,,,30.0,4.0,62.0,,,
30.0,9.0,55.0,,,,30.0,9.0,55.0,30.0,9.0,55.0,,,,31.0,4.0,59.0,,,
29.0,11.0,58.0,,,,29.0,11.0,58.0,29.0,11.0,58.0,,,,32.0,4.0,52.0,,,
29.0,11.0,58.0,,,,29.0,11.0,58.0,29.0,11.0,58.0,,,,33.0,7.0,46.0,,,
29.0,9.0,58.0,,,,29.0,9.0,58.0,29.0,9.0,58.0,,,,33.0,11.0,46.0,,,
29.0,9.0,58.0,,,,29.0,9.0,58.0,29.0,9.0,58.0,,,,34.0,4.0,41.0,,,
28.0,,62.0,,,,28.0,,62.0,28.0,,62.0,,,,35.0,9.0,41.0,,,
27.0,,70.0,,,,27.0,,70.0,27.0,,70.0,,,,35.0,9.0,39.0,,,
26.0,,74.0,,,,26.0,,74.0,26.0,,74.0,,,,36.0,13.0,37.0,,,
26.0,7.0,74.0,,,,26.0,7.0,74.0,26.0,7.0,74.0,,,,36.0,7.0,37.0,,,
26.0,6.0,74.0,,,,26.0,6.0,74.0,26.0,6.0,74.0,,,,37.0,11.0,33.0,,,
27.0,6.0,70.0,,,,27.0,6.0,70.0,27.0,6.0,70.0,,,,36.0,11.0,30.0,,,
28.0,13.0,66.0,,,,28.0,13.0,66.0,28.0,13.0,66.0,,,,37.0,11.0,25.0,,,
28.0,15.0,66.0,,,,28.0,15.0,66.0,28.0,15.0,66.0,,,,37.0,15.0,31.0,,,
29.0,15.0,62.0,,,,29.0,15.0,62.0,29.0,15.0,62.0,,,,37.0,6.0,27.0,,,
